VPS 3.5 - List (VPX tables Only) -- Last updated: 09-02-2020	You can download this sheet for Personal Usage and use the Checkboxes to see which table(s) you do (or don't) have and leave Comments or Notes for yourself.								
Table Name (Manufacturer Year)	Feature(s) Description(s), comment(s) or extra information	Type 	VP Version	Table Author(s)	Table Version	Table Date	Needed ROM Name	Checkbox 	Comments or Notes 
Big Brave (Gottlieb 1974)		EM	VPX	HauntFreaks, Carlos Guizzo, Loserman76, BorgDog	1.0	17-06-2018		FALSE	
Big Buck Hunter Pro (Stern 2010)		SS	VPX	32assassin, 85vette, Asotte, GtxJoe, Kanario40, Dark, JPSalas	2.0.1	10-03-2019	bbh_170	FALSE	
Big Casino (Gottlieb 1961)		EM	VPX	Loserman76, HauntFreaks, BorgDog, GNance, JPSalas, Pinuck, Arngrim, Chris Aguilar	1.0	24-04-2018		FALSE	
Big Game (Stern 1980)		SS	VPX	JPSalas	1.0.1	20-06-2017	biggame	FALSE	
Big Guns (Williams 1987)		SS	VPX	32assassin	2.1	30-05-2016	bguns_l8	FALSE	
Big Horse (Maresa 1975)		EM	VPX	JPSalas, Akiles50000, Loserman76, Humanoide, Kiwi	1.0.2	04-01-2020		FALSE	
Big House (Gottlieb 1989)	VP9 to VPX Conversion	SS	VPX	Rascal, Mfuegemann, Zany, Arngrim, Fuzzel, Batch, Inkochnito, Destruk, JPSalas	1.1	25-01-2019	bighouse	FALSE	
Big Shot (Gottlieb 1974)		EM	VPX	Loserman76, GNance, Mike Farmer, Wildman, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim	1.0	25-12-2017		FALSE	
Big Star (Williams 1972)		EM	VPX	JPSalas, Albert, Halen, Stat	1.0.1	12-11-2019		FALSE	
Black Hole (Gottlieb 1981)		SS	VPX	Cyberpez, Wrd1972, Rothbauerw,  Hauntdreaks, Borgdog, Dark, Zany	1.1	04-08-2017	blkhole7	FALSE	
Black Jack (Bally 1978)	Bigus MOD	SS	VPX	Bigus1, Allknowing2012, Arngrim, HauntFreaks	1.4	29-09-2019	blackjck	FALSE	
Black Jack (Bally 1978)		SS	VPX	Allknowing2012	1.1	19-04-2016	blackjck	FALSE	
Black Knight (Williams 1980)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, Bord	1.0.2 FSS Rev. R2.5	27-12-2018	bk_l4	FALSE	
Black Knight (Williams 1980)		SS	VPX	Bord, The Loafer, The Hunter, JPSalas, Scottacus, Flupper, Arconovum, BorgDog, Draifet, Wall79	1.0.3	28-01-2019	bk_l4	FALSE	
Black Knight (Williams 1980)		SS	VPX	JPSalas, Destruk, Leo, Jolo, Classic Playfields, Tio Italo, Kristian, Kruge99	1.3.1	24-01-2018	bk_l4	FALSE	
Black Knight 2000 (Williams 1989)		SS	VPX	Flupper	1.1	07-07-2016	bk2k_l4	FALSE	
Black Knight 2000 - VR Room (Williams 1989)	VR Version, VPVR, VR Room	SS	VPX	Gear323, Flupper, Lio, Ninuzzu, Tomasaco, Johngreve, JPSalas, Dozer, Knorr, 3rdaxis, Caligula	1.1	29-01-2020	bk2k_l4	FALSE	
Black Pyramid (Bally 1984)		SS	VPX	JPSalas	1.0.2	18-10-2017	blakpyra	FALSE	
Black Rose (Bally 1992)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, Coindropper, HauntFreaks, GtxJoe, Dozer	0.1.0 FSS Rev. R2.5	18-11-2018	br_l4	FALSE	
Black Rose (Bally 1992)	Dozer MOD	SS	VPX	Coindropper, JayFoxROx, GtxJoe, HauntFreaks, Dozer, nFozzy, Flupper, Rothbauerw, Arngrim, Thalamus, Draifet	0.1.0	15-05-2018	br_l4	FALSE	
Black Rose - VR Room (Bally 1992)	VR Version, VPVR, VR Room	SS	VPX	Gear323, Coindropper, HauntFreaks, Dozer, Gtxjoe, JayFoxRox, Draifet, 3rdaxis, Caligula	1.0	11-01-2020	br_l4	FALSE	
Black Sheep Squadron (Astro Games 1979)		SS	VPX	Updon	1.0	28-06-2017	blkshpsq	FALSE	
Blackout (Williams 1980)		SS	VPX	32assassin	1.1	18-02-2016	blkou_l1	FALSE	
Blackout (Williams 1980)	S34 MOD	SS	VPX	Schreibi34, 32assassin, GtxJoe	1.1	14-01-2018	blkou_l1	FALSE	
