VPS 3.5 - List (VPX tables Only) -- Last updated: 0	You can download this sheet for Personal Usage and use the Checkboxes to see which table(s) you do (or don't) have and leave Comments or Notes for yourself.								
Table Name (Manufacturer Year)	Feature(s) Description(s), comment(s) or extra information	Type 	VP Version	Table Author(s)	Table Version	Table Date	Needed ROM Name	Checkbox 	Comments or Notes 
Austin Powers (Stern 2001)		SS	VPX	Javier1515, 32assassin, Dstruct, Francisco666, Rom, ClarkKent, Ninuzzu	Javier1515, 32assassin, Dstruct, Francisco666, Rom, ClarkKent, Ninuzzu	1.01	austin	FALSE	
Avatar, James Cameron's (Stern 2010)	Bigus MOD	SS	VPX	Bigus1, Frenaticamnesic, 85vett, Hauntfreaks, 32assassin	Bigus1, Frenaticamnesic, 85vett, Hauntfreaks, 32assassin	2.0	avr_200	FALSE	
Avatar, James Cameron's (Stern 2010)	DZ MOD	SS	VPX	Dazzlaa, Thalamus, 85vett, Freneticamnesic, Xenonph, TerryRed, Crabtree, Rob Ross, G5k	Dazzlaa, Thalamus, 85vett, Freneticamnesic, Xenonph, TerryRed, Crabtree, Rob Ross, G5k	1.0	avr_200	FALSE	
Avatar, James Cameron's (Stern 2010)	MOD 	SS	VPX	Thalamus, HauntFreaks, GtxJoe, 85vett, Freneticamnesic, 32assassin, Carney	Thalamus, HauntFreaks, GtxJoe, 85vett, Freneticamnesic, 32assassin, Carney	1.19	avr_200	FALSE	
Avatar, James Cameron's (Stern 2010)	Real MOD	SS	VPX	Neogr45, 85vett, Freneticamnesic, Francisco666, Lacarril, Arngrim	Neogr45, 85vett, Freneticamnesic, Francisco666, Lacarril, Arngrim	1.0.5	avr_200	FALSE	
Avatar, James Cameron's (Stern 2010)	Future Pinball to Visual Pinball conversion	SS	VPX	Freneticamnesic	Freneticamnesic	080116a	avr_200	FALSE	
Avatar, James Cameron's (Stern 2010)	FSS (Full Single Screen) MOD	SS	VPX	Morttis, Freneticamnesic, Arconovum	Morttis, Freneticamnesic, Arconovum	080116a mod 1.19 - Rev.1 [FSS]	avr_200	FALSE	
Aztec (Williams 1976)	Sound and Reflecting MOD	EM	VPX	JPJ, Team PP, Arngrim, Chucky87, Leon Spalding, Ced, Ninuzzu	JPJ, Team PP, Arngrim, Chucky87, Leon Spalding, Ced, Ninuzzu	1.3		FALSE	
Baby Pac-Man (Bally 1982)		SS	VPX	32assassin, UncleWilly, Gangafarmer, HauntFreaks, Kristian, DarthMarino	32assassin, UncleWilly, Gangafarmer, HauntFreaks, Kristian, DarthMarino	1.1	babypac	FALSE	
Back to the Future (Data East 1990)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, JPSalas, Cyberpez, Wrd1972, Rothbauerw, ClarkKent, Dark, Zany, Flupper, nFozzy, Evileye, Wrd1972	Arconovum, JPSalas, Cyberpez, Wrd1972, Rothbauerw, ClarkKent, Dark, Zany, Flupper, nFozzy, Evileye, Wrd1972	1.0 FSS Rev. R2.5	bttf_a27	FALSE	
