This is the complete list of games supported by PinMAME 3.2 [MAME 0.76] (Oct  5 2019).

This list is generated automatically and is not 100% accurate (particularly in
the Screen Flip column). Please let us know of any errors so we can correct
them.

Here are the meanings of the columns:

Working
=======
  NO: Emulation is still in progress; the game does not work correctly. This
  means anything from major problems to a black screen.

Correct Colors
==============
    YES: Colors should be identical to the original.
  CLOSE: Colors are nearly correct.
     NO: Colors are completely wrong. 
  
  Note: In some cases, the color PROMs for some games are not yet available.
  This causes a NO GOOD DUMP KNOWN message on startup (and, of course, the game
  has wrong colors). The game will still say YES in this column, however,
  because the code to handle the color PROMs has been added to the driver. When
  the PROMs are available, the colors will be correct.

Sound
=====
  PARTIAL: Sound support is incomplete or not entirely accurate. 

  Note: Some original games contain analog sound circuitry, which is difficult
  to emulate. Therefore, these emulated sounds may be significantly different.

Screen Flip
===========
  Many games were offered in cocktail-table models, allowing two players to sit
  across from each other; the game's image flips 180 degrees for each player's
  turn. Some games also have a "Flip Screen" DIP switch setting to turn the
  picture (particularly useful with vertical games).
  In many cases, this feature has not yet been emulated.

Internal Name
=============
  This is the unique name that must be used when running the game from a
  command line.

  Note: Each game's ROM set must be placed in the ROM path, either in a .zip
  file or in a subdirectory with the game's Internal Name. The former is
  suggested, because the files will be identified by their CRC instead of
  requiring specific names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Meteor (/10 Scoring)             |  Yes  |  Yes  | Yes(2)|  Yes  | meteord  |
| Meteor (No Background Sound)     |  Yes  |  Yes  | Yes(2)|  Yes  | meteorns |
| Meteor (7-digit conversion Free P|  Yes  |  Yes  | Yes(2)|  Yes  | meteorc  |
| Meteor (7-digit conversion)      |  Yes  |  Yes  | Yes(2)|  Yes  | meteorb  |
| Mexico 86 (German Speech)        |  Yes  |  Yes  |Partial|  Yes  | mexico   |
| Mexico 86 (German Speech, Free Pl|  Yes  |  Yes  |Partial|  Yes  | mexicofp |
| Middle Earth                     |  Yes  |  Yes  |  Yes  |  Yes  | midearth |
| Midnight Marauders (Gun game)    |  Yes  |  Yes  |  Yes  |  Yes  | mdntmrdr |
| Mike Bossy                       |  Yes  |  Yes  | Yes(2)|  Yes  | mbossy   |
| Millionaire (L-3)                |  Yes  |  Yes  | Yes(2)|  Yes  | milln_l3 |
| Miss Disco (Bingo)               |   No  |  Yes  |  Yes  |  Yes  | msdisco  |
| Monday Night Football (2.7, 50cts|  Yes  |  Yes  |  Yes  |  Yes  | mnfb_c27 |
| Monday Night Football (2.9, 50cts|  Yes  |  Yes  |  Yes  |  Yes  | mnfb_c29 |
| Monopoly (2.51 Italian)          |  Yes  |  Yes  |  Yes  |  Yes  | monoi251 |
| Monopoly (3.20)                  |  Yes  |  Yes  |  Yes  |  Yes  | monopoly |
| Monopoly (3.20 German)           |  Yes  |  Yes  |  Yes  |  Yes  | monopolg |
| Monopoly (3.20 Spanish)          |  Yes  |  Yes  |  Yes  |  Yes  | monopoll |
| Monopoly (Coin Dropper)          |  Yes  |  Yes  |  Yes  |  Yes  | monopred |
| Monopoly (2.33)                  |  Yes  |  Yes  |  Yes  |  Yes  | monop233 |
| Monopoly (3.20 French)           |  Yes  |  Yes  |  Yes  |  Yes  | monopolf |
| Monopoly (2.51)                  |  Yes  |  Yes  |  Yes  |  Yes  | monop251 |
| Monopoly (3.01)                  |  Yes  |  Yes  |  Yes  |  Yes  | monop301 |
| Monopoly (3.03)                  |  Yes  |  Yes  |  Yes  |  Yes  | monopole |
| Monopoly (3.20 Italian)          |  Yes  |  Yes  |  Yes  |  Yes  | monopoli |
| Monster Bash (1.0)               |  Yes  |  Yes  | Yes(2)|  Yes  | mb_10    |
| Monster Bash (1.06b)             |  Yes  |  Yes  | Yes(2)|  Yes  | mb_106b  |
| Monster Bash (1.06)              |  Yes  |  Yes  | Yes(2)|  Yes  | mb_106   |
| Monster Bash (0.5)               |  Yes  |  Yes  | Yes(2)|  Yes  | mb_05    |
| Monte Carlo (German Free Play)   |  Yes  |  Yes  | Yes(2)|  Yes  | mntcrgfp |
| Monte Carlo (French)             |  Yes  |  Yes  | Yes(2)|  Yes  | mntecrlf |
| Monte Carlo (Free Play)          |  Yes  |  Yes  | Yes(2)|  Yes  | mntecrfp |
| Monte Carlo (rev. 2 Free Play)   |  Yes  |  Yes  | Yes(2)|  Yes  | mntcr2fp |
| Monte Carlo (German)             |  Yes  |  Yes  | Yes(2)|  Yes  | mntecrlg |
| Monte Carlo (French Free Play)   |  Yes  |  Yes  | Yes(2)|  Yes  | mntcrffp |
| Monte Carlo (rev. 2)             |  Yes  |  Yes  | Yes(2)|  Yes  | mntecrl2 |
| Monte Carlo (rev. 1)             |  Yes  |  Yes  | Yes(2)|  Yes  | mntecrla |
| Monte Carlo (rev. 1 Free Play)   |  Yes  |  Yes  | Yes(2)|  Yes  | mntcrafp |
| Monte Carlo                      |  Yes  |  Yes  | Yes(2)|  Yes  | mntecrlo |
| Moon Light                       |  Yes  |  Yes  |  Yes  |  Yes  | moonlght |
| Motor Show                       |  Yes  |  Yes  |  Yes  |  Yes  | motrshow |
| Motor Show (alternate set)       |  Yes  |  Yes  |  Yes  |  Yes  | motrshwa |
| MotorDome                        |  Yes  |  Yes  |  Yes  |  Yes  | motrdome |
| MotorDome (German)               |  Yes  |  Yes  |  Yes  |  Yes  | motrdomg |
| Mousin' Around! (LU-1 Europe)    |  Yes  |  Yes  | Yes(2)|  Yes  | mousn_lu |
| Mousin' Around! (LA-4)           |  Yes  |  Yes  | Yes(2)|  Yes  | mousn_l4 |
| Mousin' Around! (LA-1)           |  Yes  |  Yes  | Yes(2)|  Yes  | mousn_l1 |
| Mousin' Around! (LA-4C Competitio|  Yes  |  Yes  | Yes(2)|  Yes  | mousn_l4c |
| Movie Masters                    |  Yes  |  Yes  |  Yes  |  Yes  | movmastr |
| Mr. & Mrs. Pac-Man Pinball       |  Yes  |  Yes  |  Yes  |  Yes  | m_mpac   |
| Mr. & Mrs. Pac-Man Pinball (Free |  Yes  |  Yes  |  Yes  |  Yes  | m_mpaca  |
| Mr. & Mrs. Pec-Men               |  Yes  |  Yes  |  Yes  |  Yes  | pecmen   |
| Mr. Black (Z-80 CPU)             |  Yes  |  Yes  | Yes(2)|  Yes  | mrblkz80 |
| Mr. Black (alternate set)        |  Yes  |  Yes  | Yes(2)|  Yes  | mrblack1 |
| Mr. Black                        |  Yes  |  Yes  | Yes(2)|  Yes  | mrblack  |
| Mundial 90                       |  Yes  |  Yes  |  Yes  |  Yes  | mundial  |
| Mustang (V1.2)                   |  Yes  |  Yes  |  Yes  |  Yes  | mt_120   |
| Mustang (V1.3)                   |  Yes  |  Yes  |  Yes  |  Yes  | mt_130   |
| Mustang (V1.45)                  |  Yes  |  Yes  |  Yes  |  Yes  | mt_145   |
| Mustang (V1.4)                   |  Yes  |  Yes  |  Yes  |  Yes  | mt_140   |
| Mustang Boss (V1.4)              |  Yes  |  Yes  |  Yes  |  Yes  | mt_140hb |
| Mustang Boss (V1.45)             |  Yes  |  Yes  |  Yes  |  Yes  | mt_145hb |
| Mustang Limited Edition (V1.3)   |  Yes  |  Yes  |  Yes  |  Yes  | mt_130h  |
| Mustang Limited Edition (V1.45)  |  Yes  |  Yes  |  Yes  |  Yes  | mt_145h  |
| Mustang Limited Edition (V1.4)   |  Yes  |  Yes  |  Yes  |  Yes  | mt_140h  |
| Mystery Castle (R03)             |  Yes  |  Yes  |  Yes  |  Yes  | mystcasa |
| Mystery Castle (R02)             |  Yes  |  Yes  |  Yes  |  Yes  | mystcast |
| Mystic (7-digit conversion)      |  Yes  |  Yes  |  Yes  |  Yes  | mysticb  |
| Mystic                           |  Yes  |  Yes  |  Yes  |  Yes  | mystic   |
| Mystic Star                      |  Yes  |  Yes  | Yes(2)|  Yes  | myststar |
| NASCAR (4.00)                    |  Yes  |  Yes  |  Yes  |  Yes  | nas400   |
| NASCAR (4.50)                    |  Yes  |  Yes  |  Yes  |  Yes  | nascar   |
| NASCAR (3.50 Spanish)            |  Yes  |  Yes  |  Yes  |  Yes  | nas350l  |
| NASCAR (3.01 Spanish)            |  Yes  |  Yes  |  Yes  |  Yes  | nas301l  |
| NASCAR (4.00 Spanish)            |  Yes  |  Yes  |  Yes  |  Yes  | nas400l  |
| NASCAR (3.01)                    |  Yes  |  Yes  |  Yes  |  Yes  | nas301   |
| NASCAR (3.40 Spanish)            |  Yes  |  Yes  |  Yes  |  Yes  | nas340l  |
| NASCAR (3.40)                    |  Yes  |  Yes  |  Yes  |  Yes  | nas340   |
| NASCAR (4.50 Spanish)            |  Yes  |  Yes  |  Yes  |  Yes  | nascarl  |
| NASCAR (3.50)                    |  Yes  |  Yes  |  Yes  |  Yes  | nas350   |
| NASCAR (3.52 Spanish)            |  Yes  |  Yes  |  Yes  |  Yes  | nas352l  |
| NASCAR (3.52)                    |  Yes  |  Yes  |  Yes  |  Yes  | nas352   |
| NBA (V8.02)                      |  Yes  |  Yes  |  Yes  |  Yes  | nba_802  |
| NBA (V6.0)                       |  Yes  |  Yes  |  Yes  |  Yes  | nba_600  |
| NBA (V8.01)                      |  Yes  |  Yes  |  Yes  |  Yes  | nba_801  |
| NBA (V5.0)                       |  Yes  |  Yes  |  Yes  |  Yes  | nba_500  |
| NBA (V7.0)                       |  Yes  |  Yes  |  Yes  |  Yes  | nba_700  |
| NBA Fastbreak (3.1, Sound S3.0)  |  Yes  |  Yes  | Yes(2)|  Yes  | nbaf_31  |
| NBA Fastbreak (2.3)              |  Yes  |  Yes  | Yes(2)|  Yes  | nbaf_23  |
| NBA Fastbreak (2.2)              |  Yes  |  Yes  | Yes(2)|  Yes  | nbaf_22  |
| NBA Fastbreak (2.1)              |  Yes  |  Yes  | Yes(2)|  Yes  | nbaf_21  |
| NBA Fastbreak (1.15)             |  Yes  |  Yes  | Yes(2)|  Yes  | nbaf_115 |
| NBA Fastbreak (1.1, Sound S2.0)  |  Yes  |  Yes  | Yes(2)|  Yes  | nbaf_11a |
| NBA Fastbreak (3.1, Sound S1.0)  |  Yes  |  Yes  | Yes(2)|  Yes  | nbaf_31a |
| NBA Fastbreak (1.1)              |  Yes  |  Yes  | Yes(2)|  Yes  | nbaf_11  |
| NBA Fastbreak (1.1, Sound S0.4)  |  Yes  |  Yes  | Yes(2)|  Yes  | nbaf_11s |
| NBA MAC                          |  Yes  |  Yes  |  Yes  |  Yes  | nbamac   |
| NFL                              |  Yes  |  Yes  |  Yes  |  Yes  | nfl      |
| Nautilus                         |  Yes  |  Yes  |  Yes  |  Yes  | nautilus |
| Nemesis                          |  Yes  |  Yes  |  Yes  |  Yes  | nemesis  |
| New Star's Phoenix (French Speech|  Yes  |  Yes  |  Yes  |  Yes  | nstrpffp |
| New Star's Phoenix (French Speech|  Yes  |  Yes  |  Yes  |  Yes  | nstrphnf |
| New Star's Phoenix (Italian Speec|  Yes  |  Yes  |  Yes  |  Yes  | nstrphfp |
| New Star's Phoenix (Italian Speec|  Yes  |  Yes  |  Yes  |  Yes  | nstrphnx |
| New Wave                         |  Yes  |  Yes  |  Yes  |  Yes  | newwave  |
| Night Fever                      |  Yes  |  Yes  |  Yes  |  Yes  | ngtfever |
| Night Moves (Free Play)          |  Yes  |  Yes  | Yes(2)|  Yes  | nmovesfp |
| Night Moves                      |  Yes  |  Yes  | Yes(2)|  Yes  | nmoves   |
| Night Rider (Free Play+)         |  Yes  |  Yes  |  Yes  |  Yes  | nightrdc |
| Night Rider (Free Play)          |  Yes  |  Yes  |  Yes  |  Yes  | nightrdb |
| Night Rider (rev. 20)            |  Yes  |  Yes  |  Yes  |  Yes  | nightr20 |
| Night Rider (rev. 21)            |  Yes  |  Yes  |  Yes  |  Yes  | nightrdr |
| Nine Ball (Free Play)            |  Yes  |  Yes  | Yes(2)|  Yes  | ninebafp |
| Nine Ball                        |  Yes  |  Yes  | Yes(2)|  Yes  | nineball |
| Nine Ball (modified rules rev. 85|  Yes  |  Yes  | Yes(2)|  Yes  | ninebalb |
| Nitro Groundshaker (7-digit conve|  Yes  |  Yes  |  Yes  |  Yes  | ngndshkb |
| Nitro Groundshaker               |  Yes  |  Yes  |  Yes  |  Yes  | ngndshkr |
| No Fear: Dangerous Sports (2.3X) |  Yes  |  Yes  | Yes(2)|  Yes  | nf_23x   |
| No Fear: Dangerous Sports (2.3F F|  Yes  |  Yes  | Yes(2)|  Yes  | nf_23f   |
| No Fear: Dangerous Sports (1.0)  |  Yes  |  Yes  | Yes(2)|  Yes  | nf_10    |
| No Fear: Dangerous Sports (1.01 L|  Yes  |  Yes  | Yes(2)|  Yes  | nf_101   |
| No Fear: Dangerous Sports (1.1X) |  Yes  |  Yes  | Yes(2)|  Yes  | nf_11x   |
| No Fear: Dangerous Sports (2.0)  |  Yes  |  Yes  | Yes(2)|  Yes  | nf_20    |
| No Fear: Dangerous Sports (2.2)  |  Yes  |  Yes  | Yes(2)|  Yes  | nf_22    |
| No Fear: Dangerous Sports (2.3)  |  Yes  |  Yes  | Yes(2)|  Yes  | nf_23    |
| No Good Gofers (p0.6 Prototype)  |  Yes  |  Yes  | Yes(2)|  Yes  | ngg_p06  |
| No Good Gofers (1.3)             |  Yes  |  Yes  | Yes(2)|  Yes  | ngg_13   |
| No Good Gofers (1.2)             |  Yes  |  Yes  | Yes(2)|  Yes  | ngg_12   |
| No Good Gofers (1.0)             |  Yes  |  Yes  | Yes(2)|  Yes  | ngg_10   |
| Nudge It                         |  Yes  |  Yes  | Yes(2)|  Yes  | nudgeit  |
| Nugent                           |  Yes  |  Yes  | Yes(2)|  Yes  | nugent   |
| Nugent (Free Play)               |  Yes  |  Yes  | Yes(2)|  Yes  | nugentfp |
| Oba-Oba                          |  Yes  |  Yes  | Yes(2)|  Yes  | obaoba   |
| Oba-Oba (alternate set)          |  Yes  |  Yes  | Yes(2)|  Yes  | obaoba1  |
| Odin                             |  Yes  |  Yes  |  Yes  |  Yes  | odin     |
| Odin De Luxe                     |  Yes  |  Yes  |  Yes  |  Yes  | odin_dlx |
| Odisea Paris-Dakar               |  Yes  |  Yes  |  Yes  |  Yes  | odisea   |
| Olympic Games                    |   No  |  Yes  |  Yes  |  Yes  | olympic  |
| Olympus                          |  Yes  |  Yes  |  Yes  |  Yes  | olympus  |
| Omni (Shuffle) (L-1)             |  Yes  |  Yes  | Yes(2)|  Yes  | omni_l1  |
| Operation Thunder                |  Yes  |  Yes  | Yes(2)|  Yes  | opthund  |
| Orbit 1                          |  Yes  |  Yes  |  Yes  |  Yes  | orbit1   |
| Orbitor 1                        |  Yes  |  Yes  | Yes(2)|  Yes  | orbitor1 |
| Orbitor 1 (Bootleg No Timed Game)|  Yes  |  Yes  | Yes(2)|  Yes  | orbitorc |
| Orbitor 1 (Bootleg)              |  Yes  |  Yes  | Yes(2)|  Yes  | orbitora |
| Orbitor 1 (Bootleg Free Play)    |  Yes  |  Yes  | Yes(2)|  Yes  | orbitorb |
| Orbitor 1 (Free Play)            |  Yes  |  Yes  | Yes(2)|  Yes  | orbitofp |
| Panthera                         |  Yes  |  Yes  | Yes(2)|  Yes  | panthera |
| Panthera (7-digit conversion)    |  Yes  |  Yes  | Yes(2)|  Yes  | panther7 |
| Papillon                         |  Yes  |  Yes  |  Yes  |  Yes  | papillon |
| Paragon (/10 Free Play)          |  Yes  |  Yes  | Yes(2)|  Yes  | paragond |
| Paragon                          |  Yes  |  Yes  | Yes(2)|  Yes  | paragon  |
| Paragon (7-digit conversion rev. |  Yes  |  Yes  | Yes(2)|  Yes  | paragonb |
| Paragon (7-digit Free Play rev. 3|  Yes  |  Yes  | Yes(2)|  Yes  | paragonc |
| Party                            |  Yes  |  Yes  |  Yes  |  Yes  | party    |
| Party Animal (German)            |  Yes  |  Yes  |  Yes  |  Yes  | prtyanig |
| Party Animal                     |  Yes  |  Yes  |  Yes  |  Yes  | prtyanim |
| Party Zone, The (L-2)            |  Yes  |  Yes  | Yes(2)|  Yes  | pz_l2    |
| Party Zone, The (D-1 LED Ghost Fi|  Yes  |  Yes  | Yes(2)|  Yes  | pz_d1    |
| Party Zone, The (L-1)            |  Yes  |  Yes  | Yes(2)|  Yes  | pz_l1    |
| Party Zone, The (D-2 LED Ghost Fi|  Yes  |  Yes  | Yes(2)|  Yes  | pz_d2    |
| Party Zone, The (L-3)            |  Yes  |  Yes  | Yes(2)|  Yes  | pz_l3    |
| Party Zone, The (F-5 LED Ghost Fi|  Yes  |  Yes  | Yes(2)|  Yes  | pz_f5    |
| Party Zone, The (F-4 Pinball FX) |  Yes  |  Yes  | Yes(2)|  Yes  | pz_f4pfx |
| Party Zone, The (F-4 Fliptronic) |  Yes  |  Yes  | Yes(2)|  Yes  | pz_f4    |
| Party Zone, The (D-3 LED Ghost Fi|  Yes  |  Yes  | Yes(2)|  Yes  | pz_d3    |
| Pennant Fever Baseball (L-2)     |  Yes  |  Yes  | Yes(2)|  Yes  | pfevr_l2 |
| Pennant Fever Baseball (P-3 Proto|  Yes  |  Yes  | Yes(2)|  Yes  | pfevr_p3 |
| Pentacup (rev. 2)                |   No  |  Yes  |  Yes  |  Yes  | pentacp2 |
| Pentacup (rev. 1)                |  Yes  |  Yes  |  Yes  |  Yes  | pentacup |
| Petaco (new hardware, alternate s|  Yes  |  Yes  |  Yes  |  Yes  | petacona |
| Petaco (new hardware)            |  Yes  |  Yes  |  Yes  |  Yes  | petacon  |
| Petaco                           |  Yes  |  Yes  |  Yes  |  Yes  | petaco   |
| Petaco 2                         |  Yes  |  Yes  |  Yes  |  Yes  | petaco2  |
| Phantom Ship                     |  Yes  |  Yes  |Partial|  Yes  | phntmshp |
| Phantom of the Opera, The (2.9)  |  Yes  |  Yes  |  Yes  |  Yes  | poto_a29 |
| Phantom of the Opera, The (3.2)  |  Yes  |  Yes  |  Yes  |  Yes  | poto_a32 |
| Phantom of the Opera, The (3.1)  |  Yes  |  Yes  |  Yes  |  Yes  | poto_a31 |
| Pharaoh (L-2 Tomb Sound Fix MOD) |  Yes  |  Yes  | Yes(2)|  Yes  | pharo_l2b |
| Pharaoh (L-2)                    |  Yes  |  Yes  | Yes(2)|  Yes  | pharo_l2 |
| Phoenix (L-1)                    |  Yes  |  Yes  | Yes(2)|  Yes  | phnix_l1 |
| Pimbal (Pinball 3000)            |  Yes  |  Yes  |  Yes  |  Yes  | pimbal   |
| Pin-Ball                         |   No  |  Yes  |  Yes  |  Yes  | sleicpin |
| Pin-Bot (L-5)                    |  Yes  |  Yes  | Yes(2)|  Yes  | pb_l5    |
| Pin-Bot (L-5, Free Play / Solar V|  Yes  |  Yes  | Yes(2)|  Yes  | pb_l5h   |
| Pin-Bot (L-3)                    |  Yes  |  Yes  | Yes(2)|  Yes  | pb_l3    |
| Pin-Bot (L-2)                    |  Yes  |  Yes  | Yes(2)|  Yes  | pb_l2    |
| Pin-Bot (L-1)                    |  Yes  |  Yes  | Yes(2)|  Yes  | pb_l1    |
| Pin-Bot (P-4 Prototype)          |  Yes  |  Yes  | Yes(2)|  Yes  | pb_p4    |
| Pinball (Free Play)              |  Yes  |  Yes  |  Yes  |  Yes  | pinbalfp |
| Pinball                          |  Yes  |  Yes  |  Yes  |  Yes  | pinball  |
| Pinball Champ (Free Play)        |  Yes  |  Yes  |  Yes  |  Yes  | pincfp   |
| Pinball Champ (German Speech, Fre|  Yes  |  Yes  |  Yes  |  Yes  | pincgfp  |
| Pinball Champ (Italian Speech, Fr|  Yes  |  Yes  |  Yes  |  Yes  | pincifp  |
| Pinball Champ (7-digits, Free Pla|  Yes  |  Yes  |  Yes  |  Yes  | pinc7fp  |
| Pinball Champ (7-digits, Italian |  Yes  |  Yes  |  Yes  |  Yes  | pincha7i |
| Pinball Champ (7-digits, Italian |  Yes  |  Yes  |  Yes  |  Yes  | pinc7ifp |
| Pinball Champ (German Speech)    |  Yes  |  Yes  |  Yes  |  Yes  | pinchamg |
| Pinball Champ (7-digits, German S|  Yes  |  Yes  |  Yes  |  Yes  | pinc7gfp |
| Pinball Champ (7-digits, German S|  Yes  |  Yes  |  Yes  |  Yes  | pincha7g |
| Pinball Champ                    |  Yes  |  Yes  |  Yes  |  Yes  | pinchamp |
| Pinball Champ (Italian Speech)   |  Yes  |  Yes  |  Yes  |  Yes  | pinchami |
| Pinball Champ (7-digits)         |  Yes  |  Yes  |  Yes  |  Yes  | pincham7 |
| Pinball Magic                    |  Yes  |  Yes  |  Yes  |  Yes  | pmv112   |
| Pinball Magic (Redemption)       |  Yes  |  Yes  |  Yes  |  Yes  | pmv112r  |
| Pinball Pool                     |  Yes  |  Yes  | Yes(2)|  Yes  | pinpool  |
| Pink Panther                     |  Yes  |  Yes  | Yes(2)|  Yes  | pnkpnthr |
| Pink Panther (7-digit conversion)|  Yes  |  Yes  | Yes(2)|  Yes  | pnkpntr7 |
| Pink Panther (sound correction fi|  Yes  |  Yes  | Yes(2)|  Yes  | pnkpntrs |
| Pirates of the Caribbean (V1.13 E|  Yes  |  Yes  |  Yes  |  Yes  | potc_113af |
| Pirates of the Caribbean (V4.00 E|  Yes  |  Yes  |  Yes  |  Yes  | potc_400af |
| Pirates of the Caribbean (V6.0 En|  Yes  |  Yes  |  Yes  |  Yes  | potc_600as |
| Pirates of the Caribbean (V1.13 E|  Yes  |  Yes  |  Yes  |  Yes  | potc_113as |
| Pirates of the Caribbean (V1.15 G|  Yes  |  Yes  |  Yes  |  Yes  | potc_115gf |
| Pirates of the Caribbean (V1.11 E|  Yes  |  Yes  |  Yes  |  Yes  | potc_111as |
| Pirates of the Caribbean (V3.00 E|  Yes  |  Yes  |  Yes  |  Yes  | potc_300ai |
| Pirates of the Caribbean (V1.15 E|  Yes  |  Yes  |  Yes  |  Yes  | potc_115ai |
| Pirates of the Caribbean (V1.13 G|  Yes  |  Yes  |  Yes  |  Yes  | potc_113gf |
| Pirates of the Caribbean (V3.00 E|  Yes  |  Yes  |  Yes  |  Yes  | potc_300af |
| Pirates of the Caribbean (V1.10 G|  Yes  |  Yes  |  Yes  |  Yes  | potc_110gf |
| Pirates of the Caribbean (V1.10 E|  Yes  |  Yes  |  Yes  |  Yes  | potc_110ai |
| Pirates of the Caribbean (V1.10 E|  Yes  |  Yes  |  Yes  |  Yes  | potc_110af |
| Pirates of the Caribbean (V1.09 G|  Yes  |  Yes  |  Yes  |  Yes  | potc_109gf |
| Pirates of the Caribbean (V4.00 E|  Yes  |  Yes  |  Yes  |  Yes  | potc_400ai |
| Pirates of the Caribbean (V3.00 E|  Yes  |  Yes  |  Yes  |  Yes  | potc_300al |
| Pirates of the Caribbean (V1.09 E|  Yes  |  Yes  |  Yes  |  Yes  | potc_109ai |
| Pirates of the Caribbean (V1.15 E|  Yes  |  Yes  |  Yes  |  Yes  | potc_115as |
| Pirates of the Caribbean (V6.0 Ge|  Yes  |  Yes  |  Yes  |  Yes  | potc_600gf |
| Pirates of the Caribbean (V1.08 E|  Yes  |  Yes  |  Yes  |  Yes  | potc_108as |
| Pirates of the Caribbean (V6.0 En|  Yes  |  Yes  |  Yes  |  Yes  | potc_600af |
| Pirates of the Caribbean (V1.09 E|  Yes  |  Yes  |  Yes  |  Yes  | potc_109as |
| Pirates of the Caribbean (V6.0 En|  Yes  |  Yes  |  Yes  |  Yes  | potc_600ai |
| Pirates of the Caribbean (V4.00 G|  Yes  |  Yes  |  Yes  |  Yes  | potc_400gf |
| Pirates of the Caribbean (V3.00 G|  Yes  |  Yes  |  Yes  |  Yes  | potc_300gf |
| Pirates of the Caribbean (V1.13 E|  Yes  |  Yes  |  Yes  |  Yes  | potc_113ai |
| Pirates of the Caribbean (V1.15 E|  Yes  |  Yes  |  Yes  |  Yes  | potc_115af |
| Pirates of the Caribbean (V4.00 E|  Yes  |  Yes  |  Yes  |  Yes  | potc_400al |
| Pistol Poker (R02)               |  Yes  |  Yes  |  Yes  |  Yes  | pstlpkr  |
| Pistol Poker (R01)               |  Yes  |  Yes  |  Yes  |  Yes  | pstlpkr1 |
| Playboy (Stern, 4.01)            |  Yes  |  Yes  |  Yes  |  Yes  | play401  |
| Playboy (Stern, 5.00 Italian)    |  Yes  |  Yes  |  Yes  |  Yes  | playboyi |
| Playboy (Stern, 4.01 Italian)    |  Yes  |  Yes  |  Yes  |  Yes  | play401i |
| Playboy (Stern, 3.03)            |  Yes  |  Yes  |  Yes  |  Yes  | play303  |
| Playboy (Stern, 5.00 French)     |  Yes  |  Yes  |  Yes  |  Yes  | playboyf |
| Playboy (Stern, 5.00 Spanish)    |  Yes  |  Yes  |  Yes  |  Yes  | playboyl |
| Playboy (Stern, 5.00 German)     |  Yes  |  Yes  |  Yes  |  Yes  | playboyg |
| Playboy (Stern, 3.03 German)     |  Yes  |  Yes  |  Yes  |  Yes  | play303g |
| Playboy (Stern, 3.03 Spanish)    |  Yes  |  Yes  |  Yes  |  Yes  | play303l |
| Playboy (Stern, 3.03 French)     |  Yes  |  Yes  |  Yes  |  Yes  | play303f |
| Playboy (Stern, 3.03 Italian)    |  Yes  |  Yes  |  Yes  |  Yes  | play303i |
| Playboy (Stern, 3.02)            |  Yes  |  Yes  |  Yes  |  Yes  | play302  |
| Playboy (Stern, 4.01 French)     |  Yes  |  Yes  |  Yes  |  Yes  | play401f |
| Playboy (Stern, 5.00)            |  Yes  |  Yes  |  Yes  |  Yes  | playboys |
| Playboy (Stern, 3.02 German)     |  Yes  |  Yes  |  Yes  |  Yes  | play302g |
| Playboy (Stern, 3.02 Spanish)    |  Yes  |  Yes  |  Yes  |  Yes  | play302l |
| Playboy (Stern, 3.02 French)     |  Yes  |  Yes  |  Yes  |  Yes  | play302f |
| Playboy (Stern, 3.02 Italian)    |  Yes  |  Yes  |  Yes  |  Yes  | play302i |
| Playboy (Stern, 3.00)            |  Yes  |  Yes  |  Yes  |  Yes  | play300  |
| Playboy (Stern, 2.03)            |  Yes  |  Yes  |  Yes  |  Yes  | play203  |
| Playboy (Stern, 2.03 German)     |  Yes  |  Yes  |  Yes  |  Yes  | play203g |
| Playboy (Stern, 2.03 Spanish)    |  Yes  |  Yes  |  Yes  |  Yes  | play203l |
| Playboy (7-digit Free Play rev. 3|  Yes  |  Yes  | Yes(2)|  Yes  | playboyc |
| Playboy (Stern, 2.03 French)     |  Yes  |  Yes  |  Yes  |  Yes  | play203f |
| Playboy (Stern, 2.03 Italian)    |  Yes  |  Yes  |  Yes  |  Yes  | play203i |
| Playboy                          |  Yes  |  Yes  | Yes(2)|  Yes  | playboy  |
| Playboy (Stern, 4.01 Spanish)    |  Yes  |  Yes  |  Yes  |  Yes  | play401l |
| Playboy (/10 Free Play)          |  Yes  |  Yes  | Yes(2)|  Yes  | playboyd |
| Playboy (7-digit conversion rev. |  Yes  |  Yes  | Yes(2)|  Yes  | playboyb |
| Playboy (Stern, 4.01 German)     |  Yes  |  Yes  |  Yes  |  Yes  | play401g |
| Playboy 35th Anniversary (2.4)   |  Yes  |  Yes  |  Yes  |  Yes  | play_a24 |
| Pokerino (L-1)                   |  Yes  |  Yes  | Yes(2)|  Yes  | pkrno_l1 |
| Polar Explorer                   |  Yes  |  Yes  | Yes(2)|  Yes  | polar    |
| Pole Position (Sonic)            |  Yes  |  Yes  |  Yes  |  Yes  | poleposn |
| Police Force (LA-3)              |  Yes  |  Yes  | Yes(2)|  Yes  | polic_l3 |
| Police Force (LA-2)              |  Yes  |  Yes  | Yes(2)|  Yes  | polic_l2 |
| Police Force (LA-4)              |  Yes  |  Yes  | Yes(2)|  Yes  | polic_l4 |
| Police Force (LG-4 German)       |  Yes  |  Yes  | Yes(2)|  Yes  | polic_g4 |
| Pompeii (Shuffle) (L-1)          |  Yes  |  Yes  | Yes(2)|  Yes  | pomp_l1  |
| Pool Champion                    |  Yes  |  Yes  |Partial|  Yes  | poolcham |
